Version,BatchKeyPath,KeyName,BatchValueName,Path,CreatedOn,LastStart,LastStop,TaskState,LastActionResult,Source,Description,SecurityDescriptor,Author
3,,{0319D346-9E60-4CE2-B937-EF6C981CC0F1},,\Microsoft\Windows\PushToInstall\Registration,2018-03-27 12:11:55.2617775,2018-03-28 00:22:39.1277959,2018-03-28 00:22:39.2059243,0,0,,,D:P(A;;FA;;;SY)(A;;FA;;;BA)(A;;GRGX;;;SU),
3,,{03BAB3F3-7CFB-408A-9756-70F45BE325AC},,\Microsoft\Windows\Autochk\Proxy,2018-03-27 12:11:53.9468418,2018-03-28 01:16:12.8894128,2018-03-28 01:16:12.9991827,0,0,"$(@%systemroot%\system32\acproxy.dll,-100)","$(@%systemroot%\system32\acproxy.dll,-102)",,"$(@%systemroot%\system32\acproxy.dll,-101)"
3,,{04E9E27D-20BA-4966-9A08-59E136EAC4E1},,\Microsoft\Windows\SpacePort\SpaceAgentTask,2018-03-27 12:11:53.9780929,,,0,0,"$(@%SystemRoot%\system32\SpaceAgent.exe,-1)","$(@%SystemRoot%\system32\SpaceAgent.exe,-3)",D:(A;;FA;;;BA)(A;;FA;;;SY),"$(@%SystemRoot%\system32\SpaceAgent.exe,-2)"
3,,{050CEDD3-9FA4-4FD4-9E7D-0C1BD2A2327C},,\Microsoft\Windows\BrokerInfrastructure\BgTaskRegistrationMaintenanceTask,2018-03-26 12:11:55.3131827,2018-04-04 05:45:48.2875419,2018-04-04 05:45:49.0683590,0,268435456,,"$(@%systemRoot%\System32\bisrv.dll,-103)",D:(A;;FA;;;BA)(A;;FA;;;SY)(A;;FRFX;;;LS),"$(@%systemRoot%\System32\bisrv.dll,-102)"
3,,{05336594-7C19-4BFE-BD11-D0C01A1BEBD9},,\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTaskNetwork,2018-03-27 12:11:55.3444342,2018-03-27 09:15:58.7651871,2018-03-27 09:15:58.9965515,0,0,"$(@%systemroot%\system32\sppc.dll,-200)","$(@%systemroot%\system32\sppc.dll,-203)",D:P(A;;FA;;;SY)(A;;FA;;;BA)(A;;FRFW;;;S-1-5-80-123231216-2592883651-3715271367-3753151631-4175906628)(A;;FR;;;S-1-5-87-431836887-2321537645-4075769387-3393595759-2187231311),"$(@%systemroot%\system32\sppc.dll,-200)"
3,,{0621FDBB-ADD5-44B7-A2AB-8288118B6295},,\Microsoft\Windows\Feedback\Siuf\DmClient,2018-03-27 12:11:55.3827103,2018-04-05 08:42:25.5451252,2018-04-05 08:42:26.7205382,0,0,"$(@%systemRoot%\system32\dmclient.exe,-201)","$(@%systemRoot%\system32\dmclient.exe,-202)",,"$(@%systemRoot%\system32\dmclient.exe,-200)"
3,,{08ECD6F8-3E70-482C-9F54-C96A9C1A773F},,\Microsoft\Windows\Management\Provisioning\Logon,2018-03-27 12:11:54.1655996,2018-03-28 00:22:39.1121704,2018-03-28 00:22:40.6186463,0,0,,"$(@%systemRoot%\system32\ProvTool.exe,-102)",D:(A;;FA;;;BA)(A;;FA;;;SY),"$(@%systemRoot%\system32\ProvTool.exe,-101)"
3,,{0B0769E9-1E00-4421-A10B-980BA1360A23},,\Microsoft\Windows\BitLocker\BitLocker MDM policy Refresh,2018-03-27 12:11:55.4139614,,,0,0,,,D:P(A;;FRFX;;;AU)(A;;FA;;;SY),
3,,{0F807A51-1ECC-4778-B874-7A001F54BA47},,\Microsoft\Windows\DeviceDirectoryClient\HandleCommand,2018-03-27 12:11:55.4764625,,,0,0,,,D:P(A;;FA;;;SY)(A;;FRFX;;;BA),
3,,{0FFFE5E9-C7CE-4A9B-B310-A3CFE5EB1EC2},,\Microsoft\Windows\Offline Files\Logon Synchronization,2018-03-27 12:11:54.3218552,,,0,0,"$(@%systemroot%\system32\cscui.dll,-5000)","$(@%systemroot%\system32\cscui.dll,-5002)",,"$(@%systemroot%\system32\cscui.dll,-5001)"
